catalyst,co_catalyst,reaction_conditions,product,yield_pct,selectivity_pct,reference
UiO-66,TBAI,"323 K, 5 bar, 12 h",Cyclic carbonate,50,100,Fa92 [196]
UiO-66-BAT,,"323 K, 5 bar, 6 h",,95,100,Fa92 [196]
UiO-66-HBA0.2,TBAB,"343 K, 1 bar, 12 h",Cyclic carbonate,96,-,Ut7 [594]
UiO-66(Hf)–DICBr,Without co-catalyst,"363 K, 1 bar, 16 h",Cyclic carbonate,> 99,> 99,Ur7 [597]
Fe3O4@SiO2@UiO-66-NH-Cu(L-proline)2,TBAB,"353 K, 1 atm, 8 h",Cyclic carbonate,99,99,Uy7 [598]
UiO-66-DIL-Cl0.4,Without co-catalyst,"383 K, 1 bar, 16 h",Cyclic carbonate,92,99,Un8 [600]
P3[BCMIm]Br@UiO-66,Without co-catalyst,"383 K, 2.2 MPa, 2 h",Propylene carbonate,98.2,99,Uq7 [603]
ImBr@UiO-66-Br(Co),TBAB,"353 K, 1 MPa, 24 h",Cyclic carbonate,90.3,80.7,Uo7 [604]
IL-COOH@UiO-66-NH2,Without co-catalyst,"373 K, 1 MPa, 5 h",Cyclic carbonate,96.1,> 99,Ux7 [606]
UiO-66-Gua0.2(s),TBAB,"363 K, 1 atm, 12 h",Chloropropene carbonate,97,,Ux2 [614]
Cu-Zn@UiO-66,Without co-catalyst,"513 K, 3 MPa, 5 h",Methanol,9.1,49.2,Ud4 [623]
UiO-66/Cu-BTC,TBAB,"333 K, 12 bar, 8 h",Cyclic carbonate,91,> 99,Fc92 [237]
Cu-BTC/UiO-66,,"333 K, 12 bar, 8 h",,84,> 99,Fc92 [237]
UiO-66,TBAI,"333 K, 12 bar, 8 h",Cyclic carbonate,67,> 99,Fc92 [237]
Cu-BTC,,"333 K, 12 bar, 8 h",,78,> 99,Fc92 [237]
UiO-66-NH2,Without co-catalyst,"353 K, 12 bar, 4 h",Cyclic carbonate,18,> 99,Fe92 [605]
UiO-66-NH2 + ILA,,"353 K, 12 bar, 4 h",,89,99,Fe92 [605]
UiO-66-NH2 + ILB,,"353 K, 12 bar, 4 h",,56,99,Fe92 [605]
ILA@U6N,,"353 K, 12 bar, 4 h",,96,> 99,Fe92 [605]
ILB@U6N,,"353 K, 12 bar, 4 h",,65,> 99,Fe92 [605]
SP@UiO-66-NH2,Without co-catalyst,"368 K, 25 bar, 8 h",Cyclic carbonate,96,98,Fi92 [599]
SP@UiO-66-NH2,TBAB,"368 K, 25 bar, 8 h",Cyclic carbonate,92,-,Fi92 [599]
TCPP⊂Im-UiO-66,Without co-catalyst,"413 K, 1 bar, 6 h",Cyclic carbonate,45,90,Fg92 [610]
TCPP⊂(Br-)Etim-UiO-66,,"413 K, 1 bar, 6 h",,78,65,Fg92 [610]
ZnTCPP⊂(Br-)Etim-UiO-66,,"413 K, 1 bar, 6 h",,77,92,Fg92 [610]
UiO-66-0,Without co-catalyst,"393 K, 200 mmol CO2, 1 h",Dimethyl carbonate,0.015,100,Fj92 [616]
UiO-66-6,,"393 K, 200 mmol CO2, 1 h",,0.034,100,Fj92 [616]
UiO-66-12,,"393 K, 200 mmol CO2, 1 h",,0.066,100,Fj92 [616]
UiO-66-18,,"393 K, 200 mmol CO2, 1 h",,0.075,100,Fj92 [616]
UiO-66-24,,"393 K, 200 mmol CO2, 1 h",,0.084,100,Fj92 [616]
UiO-66,TBAB,"333 K, 12 bar, 10 h",Cyclic carbonate,49,-,Fw92 [617]
UiO-66(10),,"333 K, 12 bar, 10 h",,54,-,Fw92 [617]
UiO-66(30),,"333 K, 12 bar, 10 h",,70,-,Fw92 [617]
UiO-66(30),,"333 K, 12 bar, 10 h",,97,-,Fw92 [617]
UiO-66-NH2,TBAB,"373 K, 10 bar, 4 h",Cyclic carbonate,60,97,Fv92 [618]
1% Ce UiO-66-NH2,,"373 K, 10 bar, 4 h",,68,98,Fv92 [618]
5% Ce UiO-66-NH2,,"373 K, 10 bar, 4 h",,94,98,Fv92 [618]
10% Ce UiO-66-NH2,,"373 K, 10 bar, 4 h",,87,97,Fv92 [618]
UiO-66(Zr),Without co-catalyst,"473 K, 18 bar, 25 h",Methanol,NA,4,Fk93 [655]
Cu/UiO-66(Zr),,"473 K, 18 bar, 25 h",,,59,Fk93 [655]
UiO-66(Ce/Zr),,"473 K, 18 bar, 25 h",,,29,Fk93 [655]
Cu/UiO-66(Ce/Zr),,"473 K, 18 bar, 25 h",,,56,Fk93 [655]
CuUiO-66,Without co-catalyst,"448 K, 10 bar",Methanol,NA,100,Fp93 [626]
Cu/Zr-UiO-66,Without co-catalyst,"493 K, 2 bar, 10 h",Methanol,NA,96,Fu93 [631]
Cu/Hf-UiO-66,,"493 K, 2 bar, 10 h",,,97,Fu93 [631]
Cu/Zr-UiO-66-COOH,,"493 K, 2 bar, 10 h",,,99,Fu93 [631]
Cu/Zr-UiO-66-NH2,,"493 K, 2 bar, 10 h",,,100,Fu93 [631]
Cu/UiO-66-a,Without co-catalyst,"523 K, 32 bar, 50 h",Methanol,NA,30,Fj93 [632]
Cu/ZrO2,,"523 K, 32 bar, 50 h",,,28,Fj93 [632]
Pt/UiO-66,Without co-catalyst,"623 K, 1 bar",Methane,50,36,Fo93 [635]
UiO-66,Without co-catalyst,"613 K, 40 bar",CO,10,100,Fm93 [634]
Pd@UiO-66-4%,,"613 K, 40 bar",Methane,30,92,Fm93 [634]
