polymer,filler,loading_pct,conditions,co2_permeability_or_gpu,n2_permeability_or_gpu,ch4_permeability_or_gpu,h2_permeability_or_gpu,selectivity_co2_n2,selectivity_co2_ch4,selectivity_co2_h2,reference,category
6FDA–ODA,UiO-66,0,"308 K, 10.34 bar",14.4,-,0.33,-,-,44.1,-,1b [180],Pure and direct functionalized UiO-66 MOFs
6FDA–ODA,UiO-66,25,"308 K, 10.34 bar",50.4,-,1.10,-,-,46.1,-,1b [180],Pure and direct functionalized UiO-66 MOFs
6FDA–ODA,NH2-UiO-66,25,"308 K, 10.34 bar",13.7,-,0.27,-,-,51.6,-,1b [180],Pure and direct functionalized UiO-66 MOFs
CNF-NH2,UiO-66,10,"298 K, 3 bar",257,-,-,-,-,71.3,-,Ud5 [552],Pure and direct functionalized UiO-66 MOFs
PVA/CTS,UiO-66,0,"298 K, 2 bar",62.5,0.69,-,-,89.77,-,-,Uj5 [441],Pure and direct functionalized UiO-66 MOFs
PVA/CTS,UiO-66,3.75,"298 K, 2 bar",89.3,0.98,-,-,91.01,-,-,Uj5 [441],Pure and direct functionalized UiO-66 MOFs
PVA/CTS,NH2-UiO-66,3.75,"298 K, 2 bar",98.3,1.05,-,-,93.47,-,-,Uj5 [441],Pure and direct functionalized UiO-66 MOFs
CA,NH2-UiO-66,10,"298 K, 2 bar, binary CO2/CH4 (40:60) mixture",11.1,-,-,-,-,10,-,Uq4 [447],Pure and direct functionalized UiO-66 MOFs
Polyetherimide,UiO-66,0,"298 K, 4 bar",1.9,-,-,5.3,-,-,0.34,Ux4 [452],Pure and direct functionalized UiO-66 MOFs
Polyetherimide,UiO-66,10,"298 K, 4 bar",5.5,-,-,14.6,-,-,0.37,Ux4 [452],Pure and direct functionalized UiO-66 MOFs
CA,NH2-UiO-66,0,"298 K, 3 bar",13.7,2.2,1.8,-,6.2,7.6,-,Ur4 [443],Pure and direct functionalized UiO-66 MOFs
CA,NH2-UiO-66,20,"298 K, 3 bar",168.8,4.2,3.3,-,40.2,51.3,-,Ur4 [443],Pure and direct functionalized UiO-66 MOFs
PI-TB,NH2-UiO-66,0,"308 K, 1 bar",156,7.6,5.0,-,20.5,31.2,-,Uw4 [453],Pure and direct functionalized UiO-66 MOFs
PI-TB,NH2-UiO-66,30,"308 K, 1 bar",415,22.0,16.6,-,18.9,25.0,-,Uw4 [453],Pure and direct functionalized UiO-66 MOFs
SDTF Blend,UiO-66,0,"308 K, 10 atm",16.5,0.87,0.44,35.3,18.9,37.7,0.47,Ub5 [456],Pure and direct functionalized UiO-66 MOFs
SDTF Blend,UiO-66,35,"308 K, 10 atm",104.7,6.33,3.19,231.2,16.5,32.8,0.46,Ub5 [456],Pure and direct functionalized UiO-66 MOFs
6FDA-BisP,UiO-66,0,"308 K, 10.34 bar, binary CO2/CH4 (50:50) mixture",33.9,-,1.2,-,-,27.5,-,Fb85 [182],Pure and direct functionalized UiO-66 MOFs
6FDA-BisP,UiO-66,17,"308 K, 10.34 bar, binary CO2/CH4 (50:50) mixture",108,-,2.6,-,-,41.9,-,Fb85 [182],Pure and direct functionalized UiO-66 MOFs
6FDA-BisP,UiO-66,21,"308 K, 10.34 bar, binary CO2/CH4 (50:50) mixture",155,-,6.5,-,-,24.6,-,Fb85 [182],Pure and direct functionalized UiO-66 MOFs
6FDA–DAM,,0,"308 K, 10.34 bar, binary CO2/CH4 (50:50) mixture",997,-,34,-,-,29.2,-,Fb85 [182],Pure and direct functionalized UiO-66 MOFs
6FDA–DAM,,8,"308 K, 10.34 bar, binary CO2/CH4 (50:50) mixture",1728,-,54,-,-,32,-,Fb85 [182],Pure and direct functionalized UiO-66 MOFs
6FDA–DAM,,21,"308 K, 10.34 bar, binary CO2/CH4 (50:50) mixture",2358,-,187,-,-,12.7,-,Fb85 [182],Pure and direct functionalized UiO-66 MOFs
6FDA–ODA,NH2-UiO-66,0,"308 K, 10.34 bar, binary CO2/CH4 (50:50) mixture",25.9,-,1.3,-,-,20.6,-,Fb85 [182],Pure and direct functionalized UiO-66 MOFs
6FDA–ODA,NH2-UiO-66,17,"308 K, 10.34 bar, binary CO2/CH4 (50:50) mixture",43.3,-,0.8,-,-,57,-,Fb85 [182],Pure and direct functionalized UiO-66 MOFs
6FDA–ODA,NH2-UiO-66,23,"308 K, 10.34 bar, binary CO2/CH4 (50:50) mixture",72,-,3.4,-,-,21.5,-,Fb85 [182],Pure and direct functionalized UiO-66 MOFs
PU,UiO-66,0,"298 K, 4 bar",38.4,0.98,-,-,39.2,-,-,Fr84 [448],Pure and direct functionalized UiO-66 MOFs
PU,UiO-66,28,"298 K, 4 bar",75.2,2.2,-,-,34.2,-,-,Fr84 [448],Pure and direct functionalized UiO-66 MOFs
PEBA,UiO-66,0,"298 K, 3 bar, mixed gas",51.5,1.22,-,-,42.1,-,-,Fa85 [444],Pure and direct functionalized UiO-66 MOFs
PEBA,UiO-66,10,"298 K, 3 bar, mixed gas",96.3,1.73,-,-,56.6,-,-,Fa85 [444],Pure and direct functionalized UiO-66 MOFs
