photocatalyst,sacrificial_agent,irradiation,product,photocatalytic_efficiency_umol_g_h,reference
NH2-UiO-66,TEOA,Visible,Formate,26.4,Fh92 [664]
NH2-UiO-66,TEOA,Visible,CO,40,Fh92 [664]
NH2-UIO-66 PL,TEOA,Simulated sunlight,CO,24.70,Uk7 [663]
NH2-UIO-66 PL,TEOA,Simulated sunlight,Methane,7.93,Uk7 [663]
Zr-MOF,TEOA,Visible,FA,25.5,Uy3 [666]
Zr-MOF-benzaldehyde,,,,52.1,Uy3 [666]
Zr-MOF-SA,,,,75.8,Uy3 [666]
Zr-MOF-pyridinecarboxaldehyde,,,,92.6,Uy3 [666]
Zr-MOF-TFA,,,,9.1,Uy3 [666]
UiO-66-IS-Ni,TEOA,Visible,CO,1350,Uq2 [669]
NH2-UiO-66 (Zr/Ce),-,Simulated sunlight,CO,30.04,Um8 [671]
NH2-UiO-66 (Zr/Ce),TEOA,Visible,Methane,31.02,Ua4 [672]
UiO-66-NH2 (Zr/Ni),TEOA,Visible,CO,9.01,Ui7 [673]
Pt@UiO-66-NH2(Co),-,Visible,Methanol,1916.3,Uv3 [680]
Cu@UiO-66,TEOA,Visible,Methanol,50.61,Ux3 [681]
Au@UiO-66,,,,656.54,Ux3 [681]
Ni@UiO-66,,,,43.48,Ux3 [681]
Ir@UiO-66,-,Visible,Methane,19900,Uw2 [681]
Defective UiO-66-NH2,TEOA,Visible,CO,21.3,Uv2 [685]
TiO2/UiO-66,-,UV-Vis,Methane,41.81,Up3 [703]
TiO2/UiO-66,-,UV-Vis,Methanol,1.58,Up3 [703]
UiO-66/Ni-TCPP,Without sacrificial,Simulated sunlight,CO,14.64,Ub7 [676]
NH2-UiO-66@MIL-101,-,Visible,CO,267.90,Ud3 [696]
NH2-UiO-66@MIL-101,-,Visible,Methane,18.63,Ud3 [696]
Mo2C/NH2-UiO-66,Without sacrificial,UV-Vis,CO,11,Up8 [698]
CuTCPP⊂UiO-66,-,Visible,CO,1.09,Fq93 [677]
TiO2,,,,4.4,Fq93 [677]
CTU/0.6TiO2,,,,31.21,Fq93 [677]
NH2-UiO-66/TiO2,H2,UV-Vis,CO,4.2,Fs95 [240]
Cu SAs/UiO-66-NH2,-,Visible,Methanol,5.33,Fi93 [667]
Cu SAs/UiO-66-NH2,-,Visible,Ethanol,4.22,Fi93 [667]
NUZ/HGN-35%,-,Visible,CO,31.7,Fa96 [689]
NUZ/HGN-pm-35%,,,,18.9,Fa96 [689]
NUZ/HGN-em-35%,,,,22.6,Fa96 [689]
NUZ/BGN-pm-35%,,,,15.2,Fa96 [689]
NUZ/BGN-em-35%,,,,18.7,Fa96 [689]
NH2-UiO-66,Ethanol,Visible,FA,3.3,Fb92 [691]
N-CNDs/NH2-UiO-66,Ethanol,,,10.9,Fb92 [691]
N-CNDs/NH2-UiO-66,TEOA,,,80,Fb92 [691]
NH2-UiO-66/GR,TEOA,Visible,FA,418,Fz95 [239]
UiO-66-NH2/2 wt% CNTs,TEOA,Visible,FA,18.2,Fb96 [690]
NH2-UiO-66,Ethanol,Visible,FA,3.28,Fc96 [726]
NH2-UiO-66/g-C3N4/CdTe,,,FA,24.6,Fc96 [726]
CdS/NH2-UiO-66,TEOA,Visible,CO,87,Fd96 [692]
Cd0.2Zn0.8S,Na2SO3/Na2S,Visible,Methanol,2,Fy95 [693]
Cd0.2Zn0.8S@NH2-UiO-66,,,Methanol,6.8,Fy95 [693]
O-ZnO/UiO-66-NH2,Without sacrificial,Visible,Methanol,34.83,Fv95 [722]
O-ZnO/UiO-66-NH2,Without sacrificial,Visible,FA,6.41,Fv95 [722]
