membrane,conditions,binary_gas_pair,gas_i_permeance_1e8_mol_m2_s_pa,gas_j_permeance_1e8_mol_m2_s_pa,separation_factor,reference
UiO-66/Al2O3,"298 K, 5 bar",H2/CO2,(16.5),(12.6),(1.3),Fh75 [391]
UiO-66/Al2O3,"298 K, 5 bar",CO2/N2,(12.6),(0.9),(14),Fh75 [391]
UiO-66/Al2O3,"298 K, 5 bar",H2/N2,(16.5),(0.9),(18.3),Fh75 [391]
111-oriented-UiO-66 membrane,"298 K, 1 bar",CO2/N2,(2.6),(0.98),(2.66),Fu75 [400]
002-oriented-UiO-66 membrane,"298 K, 1 bar",CO2/N2,(1.6),(2.6),(0.62),Fu75 [400]
UiO-66-CH3/Ni sheet,"305 K, 1 bar",CO2/N2,190,86,2.2,Fs75 [404]
UiO-66-CH3/Ni sheet,"305 K, 1 bar",CO2/N2c,86,50,1.7,Fs75 [404]
UiO-66 HF,"293 K, 1 bar",CO2/H2,(95),(72),(1.32),Fg75 [397]
UiO-66 HF,"293 K, 1 bar",H2/N2,(72),(3.2),(22.4),Fg75 [397]
UiO-66 HF,"293 K, 1 bar",H2/CH4,(72),(11.3),(6.4),Fg75 [397]
UiO-66 HF,"293 K, 1 bar",CO2/N2,(95),(3.2),(29.7),Fg75 [397]
UiO-66/Al2O3,"298 K, 1 bar",H2/CO2,51,-,5.1,Fn75 [398]
UiO-66/Al2O3,"298 K, 1 bar",H2/CH4,-,-,12.9,Fn75 [398]
UiO-66/Al2O3,"298 K, 1 bar",H2/N2,-,-,4.7,Fn75 [398]
UiO-66/Al2O3,"298 K, 1 bar",H2/C2H6,-,-,22.4,Fn75 [398]
UiO-66/Al2O3,"298 K, 1 bar",H2/C3H8,-,-,28.5,Fn75 [398]
UiO-66/Matrimid,"298 K, 1 bar",H2/CO2,0.26,-,5.0,Fn75 [398]
UiO-66/Matrimid,"298 K, 1 bar",H2/CH4,-,-,80.0,Fn75 [398]
NH2-UiO-66 membraned,"293 K, 1 bar",H2/CO2,1247.3,44.3,28.2,Fv75 [409]
NH2-UiO-66 membraned,"293 K, 1 bar",H2/CH4,1254.4,98.6,12.7,Fv75 [409]
