material,sbet_m2_g,conditions,co2_uptake_mmol_g,n2_uptake_mmol_g,ch4_uptake_mmol_g,h2_uptake_mmol_g,selectivity_co2_n2,selectivity_co2_ch4,selectivity_co2_h2,reference,category
UiO-66,1300,"298 K, 1.5-1.7 bar",1.36,-,-,-,-,-,-,Ft55 [174],Pure UiO-66
UiO-66(Ce),606,"298 K, 1 bar",0.90,-,-,-,-,-,-,Fz55 [175],Pure UiO-66
UiO-66,1378,"298 K, 10 bar",6.7,0.24,-,-,27.9,-,-,Fu55 [179],Pure UiO-66
41PVA@UiO-66,1196,"298 K, 10 bar",5.5,0.22,-,-,25,-,-,Fu55 [179],Pure UiO-66
UiO-66,1051,"298 K, 1 bar",4.7,-,-,-,-,-,-,Fq75 [177],Pure UiO-66
UiO-66-MAT,912,"298 K, 1 bar",4.2,-,-,-,-,-,-,Fq75 [177],Pure UiO-66
UiO-66,857,"308 K, 1 bar",1.68,-,0.43,-,-,-,-,1b [180],Pure UiO-66
UiO-67,1998,"308 K, 1 bar",1.31,-,0.33,-,-,-,-,1b [180],Pure UiO-66
NH2-UiO-66,826,"308 K, 1 bar",1.91,-,0.49,-,-,-,-,1b [180],Pure UiO-66
U-1,1276,"298 K, 1 bar",1.97,-,0.58,-,-,3.34,-,[181] Pc1000,Pure UiO-66
U-2,879,"298 K, 1 bar",1.54,-,0.47,-,-,3.25,-,[181] Pc1000,Pure UiO-66
U-3,820,"298 K, 1 bar",1.44,-,0.46,-,-,3.16,-,[181] Pc1000,Pure UiO-66
U-4,715,"298 K, 1 bar",1.29,-,0.42,-,-,3.09,-,[181] Pc1000,Pure UiO-66
U-5,788,"298 K, 1 bar",1.36,,0.43,,,3.13,,[181] Pc1000,Pure UiO-66
AU-1,1145,"298 K, 1 bar",2.11,-,0.56,-,-,3.76,-,[181] Pc1000,Pure UiO-66
WU-1,996,"298 K, 1 bar",2.16,-,0.48,-,-,4.48,-,[181] Pc1000,Pure UiO-66
CU-1,1095,"298 K, 1 bar",2.00,-,0.53,-,-,3.77,-,[181] Pc1000,Pure UiO-66
DU-1,886,"298 K, 1 bar",2.60,-,0.44,-,-,5.87,-,[181] Pc1000,Pure UiO-66
UiO-66,951,"298 K, 1 bar",1.13,-,0.28,-,-,-,-,Fb85 [182],Pure UiO-66
UiO-66,1250,"273 K, 1 bar",4.33,-,-,-,-,-,-,Fg57 [111],Direct functionalization of UiO-66
UiO-66-NH2,1084,"273 K, 1 bar",5.27,-,-,-,-,-,-,Fg57 [111],Direct functionalization of UiO-66
UiO-66-NO2,869,"273 K, 1 bar",4.69,-,-,-,-,-,-,Fg57 [111],Direct functionalization of UiO-66
UiO-66-Br,801,"273 K, 1 bar",4.06,-,-,-,-,-,-,Fg57 [111],Direct functionalization of UiO-66
UiO-66-(COOH)2,453,"303 K, 20 bar",3.2,0.46,0.7,-,-,-,-,Fu59 [183],Direct functionalization of UiO-66
UiO-66,(1086),"306 K, 25 bar",5.6,-,3.2,-,-,2.6,-,Fi57 [184],Direct functionalization of UiO-66
